metric	value
sum_energy_ratio:MFNNS_over_ANSMET	0.410853012796227
sum_energy_reduction:MFNNS_over_ANSMET	0.589146987203773
geomean_energy_ratio:MFNNS_over_ANSMET	0.574654267933867
geomean_energy_reduction:MFNNS_over_ANSMET	0.425345732066133
sum_energy_ratio:MFNNS_over_NMP-Base	0.342302522112518
sum_energy_reduction:MFNNS_over_NMP-Base	0.657697477887482
geomean_energy_ratio:MFNNS_over_NMP-Base	0.439161690378453
geomean_energy_reduction:MFNNS_over_NMP-Base	0.560838309621547
sum_energy_ratio:NMP-Base-ET_over_NMP-Base	0.458972766883681
sum_energy_reduction:NMP-Base-ET_over_NMP-Base	0.541027233116319
geomean_energy_ratio:NMP-Base-ET_over_NMP-Base	0.562575521418744
geomean_energy_reduction:NMP-Base-ET_over_NMP-Base	0.437424478581256
sum_energy_ratio:NMP-FPSA-ET_over_NMP-Base-ET	0.787414041195183
sum_energy_reduction:NMP-FPSA-ET_over_NMP-Base-ET	0.212585958804817
geomean_energy_ratio:NMP-FPSA-ET_over_NMP-Base-ET	0.871521030207670
geomean_energy_reduction:NMP-FPSA-ET_over_NMP-Base-ET	0.128478969792330
sum_energy_ratio:MFNNS_over_NMP-FPSA-ET	0.947152754730352
sum_energy_reduction:MFNNS_over_NMP-FPSA-ET	0.052847245269648
geomean_energy_ratio:MFNNS_over_NMP-FPSA-ET	0.895706540315244
geomean_energy_reduction:MFNNS_over_NMP-FPSA-ET	0.104293459684756
