metric	value
geomean_norm_to_cpu:CPU	1.000000000000000
geomean_norm_to_cpu:CAGRA	0.200694574169487
geomean_norm_to_cpu:BANG	0.091797285286161
geomean_norm_to_cpu:ANSMET	3.005100703899473
geomean_norm_to_cpu:NMP-Base	2.296554952296728
geomean_norm_to_cpu:NMP-FPMA	2.486509260928407
geomean_norm_to_cpu:NMP-FPSA	2.512968437084503
geomean_norm_to_cpu:NMP-Base-ET	3.733915618420788
geomean_norm_to_cpu:NMP-FPSA-ET	4.684013510360752
geomean_norm_to_cpu:MFNNS	5.229406395438637
geomean_mfnns_over:CPU	5.229406395438637
min_mfnns_over:CPU	4.012190529732698
max_mfnns_over:CPU	9.269945301728541
geomean_mfnns_over:CAGRA	26.056540975653871
min_mfnns_over:CAGRA	12.885994947965777
max_mfnns_over:CAGRA	69.527828372412941
geomean_mfnns_over:BANG	56.966895906964567
min_mfnns_over:BANG	7.780211032853879
max_mfnns_over:BANG	209.343590577480342
geomean_mfnns_over:ANSMET	1.740176756357237
min_mfnns_over:ANSMET	1.203986829610679
max_mfnns_over:ANSMET	2.602446500442570
geomean_mfnns_over:NMP-Base	2.277065650098570
min_mfnns_over:NMP-Base	1.590004979896986
max_mfnns_over:NMP-Base	3.113510555972137
geomean_mfnns_over:NMP-FPMA	2.103111569946896
min_mfnns_over:NMP-FPMA	1.472583286070430
max_mfnns_over:NMP-FPMA	2.872553267798696
geomean_mfnns_over:NMP-FPSA	2.080967798189178
min_mfnns_over:NMP-FPSA	1.457638706856141
max_mfnns_over:NMP-FPSA	2.841885976576622
geomean_mfnns_over:NMP-Base-ET	1.400515418623827
min_mfnns_over:NMP-Base-ET	1.288209167510995
max_mfnns_over:NMP-Base-ET	1.519433674796464
geomean_mfnns_over:NMP-FPSA-ET	1.116437086244843
min_mfnns_over:NMP-FPSA-ET	1.027588512446107
max_mfnns_over:NMP-FPSA-ET	1.319542838959627
