metric	ansmet_total	nmp_fpma_total	mfnns_total	mfnns_normalized_to_ansmet	ansmet_over_mfnns	nmp_fpma_over_mfnns	paper_labels
Area	20913.242	12083.61	9678.554	0.462795486228295	2.1607816622193767	1.2484933183200715	1.2x;2.2x
Power	10.4545	4.6465000000000005	3.8465000000000003	0.3679276866421159	2.717925386715195	1.2079812816846485	1.2x;2.7x
