Area	ANSMET	NMP-FPMA	MFNNS
MACs	12803.616	6874.56	4469.504
Adder Tree	3953.376	526.4	526.4
Scale Unit	0	526.4	526.4
SRAM	4156.25	4156.25	4156.25


Power	ANSMET	NMP-FPMA	MFNNS
MACs	7.2	3.2	2.4
Adder Tree	2.192	0.192	0.192
Scale Unit	0	0.192	0.192
SRAM	1.0625	1.0625	1.0625
