dataset	design	figure_qps	figure_recall	match_status	ef_search	source_queue_or_lbq	source_config_semantics	source_yaml_ref	source_yaml_sha256	source_stats_ref	source_stats_sha256	source_result_qps	source_result_recall	note	config_path
glove2m	ndp_et	11628.417	0.89323	matched_direct	1200	1800	mfnns_global_rowsweep	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/glove2m_normalized_ndp_et_mfnns_near_target_ef1200_q1800.yaml	765780953bd2f8f8a98950bc8fac69360c3eaa71e052f336b0403003d8a11ba2	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/glove2m_normalized_ndp_et_mfnns_near_target_ef1200_q1800_stats.yml	07af5b2f51f09ab09028022e519a8dce1635f9bb08596d317e8e732b408f2d7c	11628.416959	0.89323000	Legacy file is labelled NDP-ET but enables global_coarse_fine_split and rowSweep; preserved exactly to match Figure data.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/ndp_et.yaml
glove2m	mfnns	11704.761	0.89324	matched_direct	1200	1800	mfnns_global_rowsweep	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/yamls_tune_round16_glove_formal_refine/glove2m_normalized_mfnns_ef1200_q1800.yaml	9b328f3f672551b7b5f08931f6eaf2fd081f8a113172ab77557b4bf0ed11a605	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/logs_tune_round16_glove_formal_refine/glove2m_normalized_mfnns_ef1200_q1800_stats.yml	43942a8e484ad38db8c22e59896743b93b9936b4aaa05e5a11611f2d06d405a2	11704.760696	0.89324000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/mfnns.yaml
sift1m	cpu	13560.879	0.8999	matched_direct	90	NA	cpu	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/yamls/sift1m_normalized_cpu_ef90.yaml	8f74753ea0d3dcb866fc27b12a4ac296683b74b26587deca912f0d71f4fa7edf	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/logs/sift1m_normalized_cpu_ef90_stats.yml	b2718342a9c49947ab7526e6a005be397a0ecd2b3db60a18822fc989e3c8b0e4	13560.879466	0.89990000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/cpu.yaml
sift1m	ansmet	259113.592	0.89992	matched_direct	90	100	ansmet	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/yamls_round45_ansmet_eflt100_near09/sift1m_normalized_ansmet_ef90_q100_pre32.yaml	90b23439c145208d8b551c3fec9b2411c90f9cad28ad408a8c3cbc39abe33159	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/logs_round45_ansmet_eflt100_near09/sift1m_normalized_ansmet_ef90_q100_pre32_stats.yml	1ed8ac85d7888e0638b100f7e484ba7ce5c213e5c37f9dcb1ce55dcb1b90d65f	259113.591836	0.89992000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/ansmet.yaml
sift1m	ndp_base	167076.561	0.98352	matched_direct	90	100	ndp_base	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/sift1m_normalized_ndp_base_ansmetef90_q100.yaml	872c201d0776b667e2b84a45db4e9569857e9698a7f6b01baa64d0a61cb696cb	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/sift1m_normalized_ndp_base_ansmetef90_q100_stats.yml	423a472c9ed7372245808384662c67caf7998173de3f5fb9ac4b97993bff9580	167076.561163	0.98352000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/ndp_base.yaml
sift1m	ndp_fpma	167076.561	0.98352	figure_copied_from_ndp_base	90	100	derived_ndp_fpma	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/sift1m_normalized_ndp_base_ansmetef90_q100.yaml	872c201d0776b667e2b84a45db4e9569857e9698a7f6b01baa64d0a61cb696cb	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/sift1m_normalized_ndp_base_ansmetef90_q100_stats.yml	423a472c9ed7372245808384662c67caf7998173de3f5fb9ac4b97993bff9580	167076.561163	0.98352000	Figure value copied from NDP-Base; config derives the established FPMA timing delta and has no direct k100 result.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/ndp_fpma.yaml
sift1m	ndp_et	288036.684	0.97693	figure_manual_override	100	80	mfnns_global_rowsweep	MFANNS/simulator/memory/20260610/005_mfnns_deep_sift_wiki_nq1000_final_from_nq100/yamls/sift1m_normalized_mfnns_nq1000_ef100_q80.yaml	1ecdc5c52bf7c8dece879713517c796b927e0fd239dc95092c9044bc7be0c298	MFANNS/simulator/memory/20260610/005_mfnns_deep_sift_wiki_nq1000_final_from_nq100/logs/sift1m_normalized_mfnns_nq1000_ef100_q80_stats.yml	14718be2a2591a6959da18923b0e48a21ab9b62c82191ce976db7ad0e1f7ad2d	288036.684352	0.97693000	Figure manual override resolves to the 005 file named mfnns ef100/q80; preserved exactly by measured QPS/recall.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/ndp_et.yaml
sift1m	mfnns	328228.828	0.97502	figure_manual_override	90	90	mfnns_global_rowsweep	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/sift1m_normalized_ndp_et_mfnns_near_target_ef90_q90.yaml	375f5c4d773274993ef45a4bc4a3f20bc897656d20dfa23773f731c6fe935272	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/sift1m_normalized_ndp_et_mfnns_near_target_ef90_q90_stats.yml	0778bc34749c76578648382660d27c39a1b8baf3e6f876404e3223205dd8501b	328228.828010	0.97502000	Figure manual override resolves to the 026 file named ndp_et_mfnns_near_target; preserved exactly by measured QPS/recall.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/mfnns.yaml
t2i1m	cpu	9401.161	0.90705	matched_direct	93	NA	cpu	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/yamls/t2i1m_normalized_cpu_ef93.yaml	7873555b9413064c96626d62adaab3db9255d7f657dc640a2016c4aae9289c5d	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/logs/t2i1m_normalized_cpu_ef93_stats.yml	6339ed166d86db1bb5136097027abfdfb7fbaea6a3641185f367c3c545bafc7b	9401.160860	0.90705000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/cpu.yaml
t2i1m	ansmet	160668.413	0.90662	matched_direct	93	100	ansmet	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/yamls_round47_ansmet_fine_after_sample/t2i1m_normalized_ansmet_ef93_q100_pre32.yaml	27da688fc8927eaa2824a63d55dd7f786f9156baa32dc9738ef183d479b43ddb	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/logs_round47_ansmet_fine_after_sample/t2i1m_normalized_ansmet_ef93_q100_pre32_stats.yml	1af103bfcf68e40e318561130f9a86bf9c78d7848ad7d13e27c7c03df9d11541	160668.412731	0.90662000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/ansmet.yaml
