top_k,dataset_key,dataset_label,dataset_short,method,source_design,qps,recall,data_status,figure14_source,figure14_stats_ref,figure14_config_ref,figure14_note,area_mm2,area_efficiency_kqps_per_mm2,normalized_area_efficiency_vs_ansmet,derivation_note
k10,sift1m,SIFT1M,SF,NMP-FPMA,ndp_fpma,1701497.7433886179,0.9007,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/sift1m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.01208361,140810.38227720174,1.217211655627267,Use current Figure 14 NMP-FPMA QPS
k10,sift1m,SIFT1M,SF,NMP-FPSA,ndp_fpma,1701497.7433886179,0.9007,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/sift1m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.009678554,175800.82142318136,1.5196806190319543,Derived: reuse current Figure 14 NMP-FPMA QPS
k10,sift1m,SIFT1M,SF,NMP-Base-ET,mfnns,2586912.16463109,0.8994,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_sift1m_mfnns_ef0010_q0015_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/mfnns.yaml,,0.020913242,123697.32845013175,1.0692807414090264,Derived: reuse current Figure 14 MFNNS QPS and NMP-Base area
k10,sift1m,SIFT1M,SF,MFNNS,mfnns,2586912.16463109,0.8994,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_sift1m_mfnns_ef0010_q0015_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/mfnns.yaml,,0.009678554,267282.91898057185,2.310482217800963,Measured Figure 14 QPS
k10,t2i1m,T2I1M,T2I,ANSMET,ansmet,453592.137887474,0.9066,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/t2i1m/ansmet/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ansmet.yaml,,0.020913242,21689.2310569291,1.0,Measured Figure 14 QPS
k10,t2i1m,T2I1M,T2I,NMP-Base,ndp_base,335757.9722233026,0.8986,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/t2i1m/ndp_base/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_base.yaml,,0.020913242,16054.802608954777,0.7402199998153332,Measured Figure 14 QPS
k10,t2i1m,T2I1M,T2I,NMP-FPMA,ndp_fpma,335757.9722233026,0.8986,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/t2i1m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.01208361,27786.23045789318,1.2811072179073983,Use current Figure 14 NMP-FPMA QPS
k10,t2i1m,T2I1M,T2I,NMP-FPSA,ndp_fpma,335757.9722233026,0.8986,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/t2i1m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.009678554,34690.92306798129,1.5994538016090023,Derived: reuse current Figure 14 NMP-FPMA QPS
k10,t2i1m,T2I1M,T2I,NMP-Base-ET,mfnns,634329.6008322404,0.908,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_t2i1m_mfnns_ef0035_q0140_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/mfnns.yaml,,0.020913242,30331.48092640254,1.398458103322777,Derived: reuse current Figure 14 MFNNS QPS and NMP-Base area
k10,t2i1m,T2I1M,T2I,MFNNS,mfnns,634329.6008322404,0.908,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_t2i1m_mfnns_ef0035_q0140_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/mfnns.yaml,,0.009678554,65539.7077737274,3.0217626250419465,Measured Figure 14 QPS
