panel,dataset,recall_tag,paper_metric,frontier_rank,case_name,group_tag,recall,qps_2p4ghz,s_mem_cycle,plot_input,point_within_xlim,data_status,source_experiment,test_record_ref,yaml_generator_ref,result_summarizer_ref,final_selection_script_ref,rtc_extraction_script_ref,case_manifest_ref,yaml_ref,yaml_sha256,stats_ref,stats_sha256,yaml_ef_search,yaml_queue_size,yaml_warmup_size,yaml_gt_k,yaml_k_neighbors,yaml_n_query_limit,yaml_n_parallel_query,yaml_mfnns_enable,yaml_early_exit_enable,yaml_lb_et_enable,yaml_row_policy,stats_recall,stats_mem_cycle,stats_num_query
SIFT1M Recall@1,sift1m,r1,R1@100,11,sift1m_r1_mfnns_lowef_ef006_q001,lowef,0.874,3585450.243,669372,1,1,measured_completed_simulator,20260612/003_sift_mfnns_lowef_subef_pareto,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/TEST_RECORD.md,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/generate_submit_sift_mfnns_refine.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/summarize_sift_mfnns_refine.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/case_manifest.tsv,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/yamls/sift1m_r1_mfnns_lowef_ef006_q001.yaml,8d1415774043b93f2547834d86f038a9114cdc1f8ce5f86704b71e1cfd6b834d,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/logs/sift1m_r1_mfnns_lowef_ef006_q001_stats.yml,082b2daa3b3f8faf016aae76d8f9c7478147f6055cb9d5390e31e6d648566913,6,1,0,100,1,1000,1000,1,0,1,OpenRowPolicy,0.874,669372,1000
SIFT1M Recall@1,sift1m,r1,R1@100,12,sift1m_r1_mfnns_lowef_ef006_q003,lowef,0.882,3514953.932,682797,1,1,measured_completed_simulator,20260612/003_sift_mfnns_lowef_subef_pareto,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/TEST_RECORD.md,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/generate_submit_sift_mfnns_refine.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/summarize_sift_mfnns_refine.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/case_manifest.tsv,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/yamls/sift1m_r1_mfnns_lowef_ef006_q003.yaml,94a3dce482b1d747701ab94a1950f5c45d50d3a3b46b09eb46bb7d5f8d9b945d,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/logs/sift1m_r1_mfnns_lowef_ef006_q003_stats.yml,916dd65a259dde80e51c5519dda2733b7027d764fee7543b47bc07d02df049a5,6,3,2,100,1,1000,1000,1,0,1,OpenRowPolicy,0.882,682797,1000
SIFT1M Recall@1,sift1m,r1,R1@100,13,sift1m_r1_mfnns_lbqfill_ef006_q048,lbqfill,0.886,3261658.39,735822,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef006_q048.yaml,d62b5991e5a257b1f6d3cf52e40be54fec1c5119e4bef02e8505086f0df451ff,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef006_q048_stats.yml,7753d3410c0603051bbe3129cb5ceec49ae97640c7853a0c6bac070dea4c34e2,6,48,47,100,1,1000,1000,1,0,1,OpenRowPolicy,0.886,735822,1000
SIFT1M Recall@1,sift1m,r1,R1@100,14,sift1m_r1_mfnns_lowef_ef008_q001,lowef,0.899,3048211.272,787347,1,1,measured_completed_simulator,20260612/003_sift_mfnns_lowef_subef_pareto,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/TEST_RECORD.md,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/generate_submit_sift_mfnns_refine.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/summarize_sift_mfnns_refine.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/case_manifest.tsv,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/yamls/sift1m_r1_mfnns_lowef_ef008_q001.yaml,9d456dab5b48040d596044f0e703047725ac793e490ace2b81dd72546e839c29,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/logs/sift1m_r1_mfnns_lowef_ef008_q001_stats.yml,8972bea4e4c18b13257ccebdd21aac227f7206da3c101e5212a5c3dcec2a2f12,8,1,0,100,1,1000,1000,1,0,1,OpenRowPolicy,0.899,787347,1000
SIFT1M Recall@1,sift1m,r1,R1@100,15,sift1m_r1_mfnns_lbqfill_ef008_q016,lbqfill,0.906,2976201.548,806397,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef008_q016.yaml,a84428ce0cd553153a6fc24fbe149d14f275b8dc4c75caf9a56b94678d376812,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef008_q016_stats.yml,62225fddf0a9b70685f0d8a864541c97ef360a282c6c791603644ea253ca843b,8,16,15,100,1,1000,1000,1,0,1,OpenRowPolicy,0.906,806397,1000
SIFT1M Recall@1,sift1m,r1,R1@100,16,sift1m_r1_mfnns_lbqfill_ef008_q064,lbqfill,0.907,2699975.363,888897,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef008_q064.yaml,36ffeac53ed81d05fba0c2ca1a425f47e1be0bf1ad516f84af26eacbd2386708,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef008_q064_stats.yml,767888e0b048cee7f150e4c43e8344be8318d8409070842afff54ccfdb657f18,8,64,63,100,1,1000,1000,1,0,1,OpenRowPolicy,0.907,888897,1000
SIFT1M Recall@1,sift1m,r1,R1@100,17,sift1m_r1_mfnns_ef010_q010,broad,0.924,2574632.149,932172,1,1,measured_completed_simulator,20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/TEST_RECORD.md,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/scripts/generate_submit_frontier.py,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/scripts/summarize_frontier.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/case_manifest.tsv,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/yamls/sift1m_r1_mfnns_ef010_q010.yaml,43aab33ed3501472a8e08286912f40ca535359d6eaaa4713a38b58ba9ab8b046,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/logs/sift1m_r1_mfnns_ef010_q010_stats.yml,bfd713c6126638cd0d0020f3249a0cf100dbc005c5a440c558ffd6b32537ca4d,10,10,9,100,1,1000,1000,1,0,1,OpenRowPolicy,0.924,932172,1000
SIFT1M Recall@1,sift1m,r1,R1@100,18,sift1m_r1_mfnns_ef010_q020,broad,0.926,2543930.5,943422,1,1,measured_completed_simulator,20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/TEST_RECORD.md,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/scripts/generate_submit_frontier.py,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/scripts/summarize_frontier.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/case_manifest.tsv,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/yamls/sift1m_r1_mfnns_ef010_q020.yaml,ee60b3a23dcb71d37cf815c6db2c90d8d66cd1c02440d7680ffe546c0644d526,simulator/memory/20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier/logs/sift1m_r1_mfnns_ef010_q020_stats.yml,3c81c6b558c6132ccfd7e3e16f7db38a8f33f32cbdc96c3b9e6fb27121ef73c2,10,20,19,100,1,1000,1000,1,0,1,OpenRowPolicy,0.926,943422,1000
SIFT1M Recall@1,sift1m,r1,R1@100,19,sift1m_r1_mfnns_lbqfill_ef010_q080,lbqfill,0.927,2303822.329,1041747,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef010_q080.yaml,67499df4f535338dc011b57c89a54000eacf58db4336005b38007d0cbe9868d4,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef010_q080_stats.yml,45eb151379ef7fe8375e7240983d5ff46cf155510d3d1dcf046d0ec325ed67ce,10,80,79,100,1,1000,1000,1,0,1,OpenRowPolicy,0.927,1041747,1000
SIFT1M Recall@1,sift1m,r1,R1@100,20,sift1m_r1_mfnns_lbqfill_ef012_q001,lbqfill,0.942,2288008.832,1048947,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef012_q001.yaml,f05310a2b5c7d5c20ddc714a3af18139dd28519236a4765d4e1c40b4ce00c67d,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef012_q001_stats.yml,c2fd3e8963fe8396faac5550c7b58c50fa4437dc0d7bf23df4ccbbbe1ba1fe82,12,1,0,100,1,1000,1000,1,0,1,OpenRowPolicy,0.942,1048947,1000
