source	dataset	paper_dataset	recall_tag	paper_metric	series	recall	qps	source_detail
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9299975419745754	1115134.3873633982	pdf_page=17,drawing=385
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9499973315148715	844108.7011326356	pdf_page=17,drawing=385
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9599972859983614	733239.1815066105	pdf_page=17,drawing=385
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9699971210551679	569512.8440644131	pdf_page=17,drawing=385
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9799969561119743	446052.9492624262	pdf_page=17,drawing=385
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.381	9098767.117	sift1m_r1_mfnns_lbqfill_ef001_q032
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.637	6496195.665	sift1m_r1_mfnns_lbqfill_ef002_q016
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.747	5278820.711	sift1m_r1_mfnns_lowef_ef003_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.748	5143073.887	sift1m_r1_mfnns_lbqfill_ef003_q024
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.795	4497565.693	sift1m_r1_mfnns_lowef_ef004_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.805	4419303.518	sift1m_r1_mfnns_lbqfill_ef004_q008
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.806	4230588.21	sift1m_r1_mfnns_lbqfill_ef004_q032
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.844	3998020.98	sift1m_r1_mfnns_lowef_ef005_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.851	3846172.337	sift1m_r1_mfnns_lbqfill_ef005_q010
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.852	3686228.251	sift1m_r1_mfnns_lbqfill_ef005_q040
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.874	3585450.243	sift1m_r1_mfnns_lowef_ef006_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.882	3514953.932	sift1m_r1_mfnns_lowef_ef006_q003
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.886	3261658.39	sift1m_r1_mfnns_lbqfill_ef006_q048
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.899	3048211.272	sift1m_r1_mfnns_lowef_ef008_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.906	2976201.548	sift1m_r1_mfnns_lbqfill_ef008_q016
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.907	2699975.363	sift1m_r1_mfnns_lbqfill_ef008_q064
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.924	2574632.149	sift1m_r1_mfnns_ef010_q010
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.926	2543930.5	sift1m_r1_mfnns_ef010_q020
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.927	2303822.329	sift1m_r1_mfnns_lbqfill_ef010_q080
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.942	2288008.832	sift1m_r1_mfnns_lbqfill_ef012_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.943	2163044.918	sift1m_r1_mfnns_lbqfill_ef012_q048
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.945	2031235.321	sift1m_r1_mfnns_lbqfill_ef012_q096
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.962	1972026.8	sift1m_r1_mfnns_lbqfill_ef015_q015
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.963	1851641.828	sift1m_r1_mfnns_lbqfill_ef015_q060
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.965	1730388.213	sift1m_r1_mfnns_lbqfill_ef015_q120
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.97	1594105.0	sift1m_r1_mfnns_subef_ef020_q015
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.972	1579859.945	sift1m_r1_mfnns_ef020_q020
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.975	1566940.685	sift1m_r1_mfnns_subef_ef020_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.98	1122847.992	sift1m_r1_mfnns_subef_ef030_q007
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.981	1083205.041	sift1m_r1_mfnns_subef_ef030_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.982	848312.2298	sift1m_r1_mfnns_subef_ef040_q030
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.983	843371.2077	sift1m_r1_mfnns_subef_ef040_q010
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.984	838443.4716	sift1m_r1_mfnns_ef040_q040
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.987	659400.0778	sift1m_r1_mfnns_subef_ef050_q012
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.988	542833.2776	sift1m_r1_mfnns_subef_ef060_q045
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.99	536958.1589	sift1m_r1_mfnns_subef_ef060_q015
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.992	380097.3429	sift1m_r1_mfnns_ef080_q080
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	0.38000344378833695	1073564.2742480782	pdf_page=17,drawing=257
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	0.4566025892404382	975366.0946425438	pdf_page=17,drawing=257
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	0.5996011143102274	953767.1053823356	pdf_page=17,drawing=257
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	0.7372995428828168	759831.5593905917	pdf_page=17,drawing=257
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	0.8537984214533907	415523.23662735545	pdf_page=17,drawing=257
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	0.9336973806271796	257962.35005961524	pdf_page=17,drawing=257
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	0.9770970373849719	146609.28268695995	pdf_page=17,drawing=257
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	0.9925969489203785	75944.3992798033	pdf_page=17,drawing=257
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	+HNSW	0.9957968674761526	39115.55896032932	pdf_page=17,drawing=257
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.38000344378833695	11923110.144012323	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.46000254749095437	9342460.510940854	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.6200008638133246	5565472.929464587	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.7499994361119088	3054555.84122149	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.839998489043242	1818446.144634672	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.8699981733536865	1319724.9897538198	pdf_page=17,drawing=305
