top_k,top_k_label,dataset_key,dataset_label,dataset_short,design,design_label,plot_included,qps,cpu_qps,qps_speedup_vs_cpu,recall,data_status,source,stats_ref,run_ref,note
k5,Recall@5,glove2m,GloVe2M,GV,ndp_et,NMP-FPSA-ET,True,23806.092000765246,706.9694998641011,33.67343570739817,0.9062,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/glove2m_normalized_ndp_et_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/10_glove2m_normalized_ndp_et/slurm-9624175.out,
k5,Recall@5,glove2m,GloVe2M,GV,mfnns,MFNNS,True,24988.29168387258,706.9694998641011,35.34564318358291,0.9062,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/glove2m_normalized_mfnns_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/12_glove2m_normalized_mfnns/slurm-9624177.out,
k5,Recall@5,sift1m,SIFT1M,SF,cpu,CPU,True,186441.11641872718,186441.11641872718,1.0,0.893,measured,sim,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/logs/sift1m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/runs/formal_submit/13_sift1m_normalized_cpu/slurm-9615196.out,
k5,Recall@5,sift1m,SIFT1M,SF,gpu_cagra,CAGRA,True,450756.71307535307,186441.11641872718,2.417689411722899,0.9029999999999978,external_measurement,gpu,,MFANNS/gpu_cagra/gpu_ada_6000,
k5,Recall@5,sift1m,SIFT1M,SF,bang,BANG,True,62500.0,62500.0,1.0,0.9298,external_measurement,BANG:r16_baseline_002,,,uses supplied BANG speedup
k5,Recall@5,sift1m,SIFT1M,SF,ansmet,ANSMET,True,2004766.3319542212,186441.11641872718,10.752812311270045,0.8758,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/sift1m_normalized_ansmet_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/13_sift1m_normalized_ansmet/slurm-9647629.out,
k5,Recall@5,sift1m,SIFT1M,SF,ndp_base,NMP-Base,True,1966331.4890782575,186441.11641872718,10.546662275193007,0.897,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/sift1m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/14_sift1m_normalized_ndp_base/slurm-9624179.out,
k5,Recall@5,sift1m,SIFT1M,SF,ndp_fpma,NMP-FPMA/FPSA,True,1966331.4890782575,186441.11641872718,10.546662275193007,0.897,derived_copy_no_direct_test,sim;copied_from=ndp_base,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/sift1m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/14_sift1m_normalized_ndp_base/slurm-9624179.out,copied_from=ndp_base
k5,Recall@5,sift1m,SIFT1M,SF,ndp_et,NMP-FPSA-ET,True,2048923.1628202402,186441.11641872718,10.989652938027756,0.8776,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/sift1m_normalized_ndp_et_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/16_sift1m_normalized_ndp_et/slurm-9624181.out,
k5,Recall@5,sift1m,SIFT1M,SF,mfnns,MFNNS,True,2666897.7978091436,186441.11641872718,14.30423636715182,0.8776,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/sift1m_normalized_mfnns_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/18_sift1m_normalized_mfnns/slurm-9624183.out,
