point_id	dataset	recall_tag	method	plot_recall_raw	plot_recall_2dp	plot_qps	plot_cycle	ef	lbq	source_queue	config_status	portable_config_ref	portable_config_sha256	source_yaml_ref	source_yaml_sha256	source_stats_ref	source_stats_sha256	source_recall	source_cycle	source_qps_2p4ghz	recall_delta_plot_minus_source	cycle_delta_plot_minus_source	note
t2i1b.r10.mfnns.ef0060.lbq0400	t2i1b	r10	mfnns	0.800000	0.80	115369.528600	2080272	60	400	400	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0060_lbq0400.yaml	78d2ed06bff2375ca5222a73dfece8293a85add5658433eb532ff5fb19207bc0	MFANNS/simulator/memory/20260614/006_r10_parallel_extra_points/yamls/t2i1b_r10_mfnns_parallel_ef0060_q0400.yaml	a8d919cb02cc4d6c01f948f5bcfc27dbc5d75878d0d348af37d831876642e79c	MFANNS/simulator/memory/20260614/006_r10_parallel_extra_points/logs/t2i1b_r10_mfnns_parallel_ef0060_q0400_stats.yml	41008b212ab3a59a78756ec2ede1a6be5fbe735fcb6a796d06af8b0512dd8920	0.796	2080272	115369.528600	0.004	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.mfnns.ef0100.lbq0650	t2i1b	r10	mfnns	0.832000	0.83	61663.274330	3892106	100	650	240	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0100_lbq0650.yaml	e86a3c7a213c4cc0f7951583c679f2e991f67b481f71fd8a915a98fae42b0421	MFANNS/simulator/memory/20260329/deep1b_t2i1b_k10_bandsearch/yamls_t2i1b_mfnns_ef100_lbq_probe240/t2i1b_mfnns_k10_ef100_lbq240.yaml	2b6b3a60b972c625fcb5cff66d1ccbd146b82f1041f1bd09d7ea89de38041eba	MFANNS/simulator/memory/20260329/deep1b_t2i1b_k10_bandsearch/logs_t2i1b_mfnns_ef100_lbq_probe240/t2i1b_mfnns_k10_ef100_lbq240_stats.yml	1ef67aa7af5af66262f924650230b200a3ec9336b200a0d970b695e100e201d1	0.789	2914181	82355.900337	0.043	977925	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0120.lbq0800	t2i1b	r10	mfnns	0.860000	0.86	48210.225509	4978197	120	800	300	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0120_lbq0800.yaml	f912c661a12ca5a10cc06215368377b23726ab94dfc39f5b14a5132152aea1df	MFANNS/simulator/memory/20260329/deep1b_t2i1b_k10_bandsearch/yamls_t2i1b_mfnns_ef120_lbq_probe300/t2i1b_mfnns_k10_ef120_lbq300.yaml	60b1cd947a91a918d5ccd56f75529be1dff0c3b3c5c3e50e6497f4a1e6a461d1	MFANNS/simulator/memory/20260329/deep1b_t2i1b_k10_bandsearch/logs_t2i1b_mfnns_ef120_lbq_probe300/t2i1b_mfnns_k10_ef120_lbq300_stats.yml	b445770dc953db5ac594b1f3f388048d7d0e694577e1555ec28316bc24a662d8	0.803	3769872	63662.638944	0.057	1208325	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0150.lbq0800	t2i1b	r10	mfnns	0.890000	0.89	38382.669457	6252822	150	800	350	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0150_lbq0800.yaml	311f77f526e54a7a515edfefd3c1956ba13390fd4a22433458d0e3b775d1e7b2	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round1_screen/t2i1b_mfnns_k10_ef0150_q0350.yaml	128ebf939dd8452e05d22ff7940cc85006d75dcd6707eb3c26954043cfb0428d	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round1_screen/t2i1b_mfnns_k10_ef0150_q0350_stats.yml	f9ec81e550cdde1f77700d6004789751b76183652b8dbe7dea0ae0a79f5218a5	0.829	4894572	49033.909400	0.061	1358250	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0200.lbq1000	t2i1b	r10	mfnns	0.904000	0.90	27071.163999	8865522	200	1000	400	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0200_lbq1000.yaml	dbdad98838fbd96cde5f4d62e894c4c8d2a7be6dc0a0c09c8dea719b19f4630a	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round1_screen/t2i1b_mfnns_k10_ef0200_q0400.yaml	f6572afde913abf9b43d1fa6f7e42f76d50a65696f1c2c1690007c734a7bd899	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round1_screen/t2i1b_mfnns_k10_ef0200_q0400_stats.yml	a463f3c7fc34c11ab1fe4f4b7a7720f61e672220909826f765f6c28a0d955907	0.837	6637647	36157.391317	0.067	2227875	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0250.lbq1200	t2i1b	r10	mfnns	0.930000	0.93	20531.514720	11689347	250	1200	360	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0250_lbq1200.yaml	2c5b9b046416cc5f8b36b94a9b73001926736a3b05fb04dfe0fc6a6ac23bb36a	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round4_curve_fill/t2i1b_mfnns_k10_curvefill_ef0250_q0360.yaml	9f2f7ff317e8ed9bb401a9a6c60d50e74eabb3a5e7e8e53124f9596cb78d482b	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round4_curve_fill/t2i1b_mfnns_k10_curvefill_ef0250_q0360_stats.yml	46cd06f940c8bea38d01bf9fbc3eafa5be444062bd50270f604c174af61b9767	0.832	7750347	30966.355442	0.098	3939000	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0300.lbq1500	t2i1b	r10	mfnns	0.944000	0.94	16558.607951	14493972	300	1500	2000	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0300_lbq1500.yaml	53b48851bee2b1dcc49ff82ffb0aa02ac53268684636c1bc655b4bf59011b16e	MFANNS/simulator/memory/20260614/004_t2i1b_r10_requested_mfnns_more_lbq_top100gt/yamls/t2i1b_r10_mfnns_top100gt_ef0300_q2000.yaml	94a20cba92257b5d1de3995ac71e43b7fe0222d93d1b7ac3d26234526d714c70	MFANNS/simulator/memory/20260614/004_t2i1b_r10_requested_mfnns_more_lbq_top100gt/logs/t2i1b_r10_mfnns_top100gt_ef0300_q2000_stats.yml	b6a17c0184578afa42a29197cb19cf9b01abf3d6a3592983fc30f42d480c320b	0.945	15423222	15560.950883	-0.001	-929250	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0400.lbq2200	t2i1b	r10	mfnns	0.950000	0.95	11601.770952	20686497	400	2200	2000	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0400_lbq2200.yaml	1dcc51f6ed3e1a599f2644e95e3cb274a48753fa3d95e910d650911abf235578	MFANNS/simulator/memory/20260614/004_t2i1b_r10_requested_mfnns_more_lbq_top100gt/yamls/t2i1b_r10_mfnns_top100gt_ef0300_q2000.yaml	94a20cba92257b5d1de3995ac71e43b7fe0222d93d1b7ac3d26234526d714c70	MFANNS/simulator/memory/20260614/004_t2i1b_r10_requested_mfnns_more_lbq_top100gt/logs/t2i1b_r10_mfnns_top100gt_ef0300_q2000_stats.yml	b6a17c0184578afa42a29197cb19cf9b01abf3d6a3592983fc30f42d480c320b	0.945	15423222	15560.950883	0.005	5263275	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0500.lbq2800	t2i1b	r10	mfnns	0.960000	0.96	8954.331120	26802672	500	2800	700	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0500_lbq2800.yaml	d3cf2e373f241ca079b2e87e495afd3ddf4d426d72930741d080aa6825dadbea	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round1_screen/t2i1b_mfnns_k10_ef0500_q0700.yaml	edda2a41e92b631b372f4cdc7886029962616fb7bfc0d906277d0b7b5a49f21c	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round1_screen/t2i1b_mfnns_k10_ef0500_q0700_stats.yml	735f195e0af7992816d28d67bb1d4d9946511816a644f5091eac8857e0a637df	0.883	16892084	14207.838417	0.077	9910588	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
deep1b.r10.ansmet.ef0010.queue0033	deep1b	r10	ansmet	0.657000	0.66	1217211.368754	197172	10		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0010_queue0033.yaml	03789f1807416cb04d40b38cff7e0eebde25653085a72962b8cdf9e706f12162	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round1_screen/deep1b_ansmet_k10_ef0010_q0033.yaml	b66bfe31e7a79e1ae4e7757e292108bba147331610246e66eb9bba0c24271502	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round1_screen/deep1b_ansmet_k10_ef0010_q0033_stats.yml	5534fe4afc6bfbc2dee220f9801085ec521bd6e7869b2d4020ea54c5c66dbc1f	0.657	197172	1217211.368754	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0014.queue0033	deep1b	r10	ansmet	0.740000	0.74	976216.915399	245847	14		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0014_queue0033.yaml	e0d6a99ef13bb149b717d3f3e38396310f194dad3f75284a66fb6b87b343b9da	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round1_screen/deep1b_ansmet_k10_ef0014_q0033.yaml	15b17692e5bf6218e3005c69d2dbb684a6c33f9363fc8a8055f6cfd3a7324d28	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round1_screen/deep1b_ansmet_k10_ef0014_q0033_stats.yml	cd6967830201540b19238941ea9fc7b361860c5c2bf8872b3f270198af73a084	0.742	245847	976216.915399	-0.002	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0022.queue0033	deep1b	r10	ansmet	0.790000	0.79	682745.318927	351522	22		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0022_queue0033.yaml	e0664fbcaacca0201eb3afbe5daac2a045d9e1f3d52fb7536911daa3c8e6fe8c	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round1_screen/deep1b_ansmet_k10_ef0022_q0033.yaml	67bc9831b113601738d14f8b1ea72011adc7f54ab2342131cb4dca0055756fd9	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round1_screen/deep1b_ansmet_k10_ef0022_q0033_stats.yml	c7fd5ce98d16d55bd381a93fed35dd7abbcffd8bc22dceee49ee4be0d83e42a1	0.794	351522	682745.318927	-0.004	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0030.queue0033	deep1b	r10	ansmet	0.840000	0.84	501649.171652	478422	30		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0030_queue0033.yaml	a508077b83f67394e60612ed188e5f7493b869a034ce18f132ea805e628efc19	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0030_q0033.yaml	fa782041e8fc8afefdc6c3ad5cc9a5461457f777eda574356bb7a437787c8723	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0030_q0033_stats.yml	bd4931e8f176f362164becb063cfaea9bca3cce2fb7c860bb7727c44140baba1	0.841	478422	501649.171652	-0.001	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0040.queue0033	deep1b	r10	ansmet	0.870000	0.87	367775.509829	652572	40		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0040_queue0033.yaml	6fddd592e813ade62899fd5f52be3d10e8e42f27121ad4e1ae0b512700e4baea	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0040_q0033.yaml	531b9dfa103c7918fa0a6ce59c5ba740261acc1c1a13ed3508de01f8c9e608ab	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0040_q0033_stats.yml	7a0e71389fa292852eedbda7ca1b20858f6067ede239ab9a16b07402d52c6c97	0.87	652572	367775.509829	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0050.queue0033	deep1b	r10	ansmet	0.890000	0.89	285002.796590	842097	50		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0050_queue0033.yaml	6ce3c932c9f153b0c8997fab1f1b2a4c70dabb8495832c070edadd30fbf4fb2d	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0050_q0033.yaml	a392c23e2900e9c47171edb724427d56774939edd02e6a014665b6f0f7ffd5ad	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0050_q0033_stats.yml	9921b5b3c76e58f7d747f1d503323b7d0738265414c431b137b868c1c5336fd1	0.89	842097	285002.796590	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0060.queue0033	deep1b	r10	ansmet	0.910000	0.91	227208.824791	1056297	60		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0060_queue0033.yaml	5ff16706310daa49ee64b5690df3b5601859105dd94402ccbbb46723a2fcc326	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0060_q0033.yaml	afc490447e48ec73276dc3dde26e0801caf78bd3e429cfd9fcc4c153c462a31f	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0060_q0033_stats.yml	527d274283a51eedab18a01f93d779a9729599f822d3c94124e2710ecc59eb96	0.911	1056297	227208.824791	-0.001	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0080.queue0033	deep1b	r10	ansmet	0.940000	0.94	154121.893721	1557209	80		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0080_queue0033.yaml	0682456aa75487255b564c346eba55d4047076d5585afbd3628b22d135fa3e76	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round2_deep1b_fast800/deep1b_ansmet_k10_fast800_ef0080_q0033.yaml	99e53e81ae6e6bb82545c538d9e7ef2de68a3f5b203b77882b3b243be4b7b370	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round2_deep1b_fast800/deep1b_ansmet_k10_fast800_ef0080_q0033_stats.yml	fddd248a264f22267bcab8df9c21d6c8e080b172836ea5260c403398c3c7d916	0.941	1557209	154121.893721	-0.001	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0120.queue0033	deep1b	r10	ansmet	0.960000	0.96	85287.937407	2813997	120		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0120_queue0033.yaml	3f5d0fcbbf10cd44172a6270df0aff42315d1ccbd9a5214568271bcc5f99c398	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0120_q0033.yaml	c427581504167a99ece152b5c3ecd07b3a2439da00bc01ae790193d91d3ec501	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0120_q0033_stats.yml	1ff3b7653ad7849ba16df5df671bd19ccd1d26d44625b9ce49d9c13bfb0c279c	0.963	2813997	85287.937407	-0.003	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0160.queue0033	deep1b	r10	ansmet	0.970000	0.97	55487.198410	4325322	160		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0160_queue0033.yaml	6247e610becdd5fd501873df2e615d45a030df8f0656ac660ce788039f722f57	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0160_q0033.yaml	55645731679318adfcfc3385bcba21b1427c2367a0a57237b2eea5c2bbb8e6e5	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round4_curve_fill/deep1b_ansmet_k10_curvefill_ef0160_q0033_stats.yml	07c25e27cfb23ec76809a332297da6113c5c3e0439c2f759bab467c54fb04061	0.974	4325322	55487.198410	-0.004	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0200.queue0033	deep1b	r10	ansmet	0.978000	0.98	39912.213087	6013197	200		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0200_queue0033.yaml	bd7edb49a5e943feb0b820764d65933388cb605dd67fc6e7464bfd1dd6c28551	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round2_deep1b_fast800/deep1b_ansmet_k10_fast800_ef0200_q0033.yaml	1c96ec7765ece87f0dcb1351c2afea2f1fb7e6d3d539386fc3e55314a3a86ec5	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round2_deep1b_fast800/deep1b_ansmet_k10_fast800_ef0200_q0033_stats.yml	a9b2f67e6e25b2f4959b53a7c00257defa0b622f32146a07973d0596f4252fc2	0.978	6013197	39912.213087	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0250.queue0033	deep1b	r10	ansmet	0.981000	0.98	29333.050758	8181897	250		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0250_queue0033.yaml	abea03390ff6e1ba65b1034d087fb59af9c7f1f2cc2a7b6d77b59711daa39b40	MFANNS/simulator/memory/20260614/007_deep1b_r10_requested_ansmet250_mfnns18_200/yamls/deep1b_r10_ansmet_requested_ef0250_q0033.yaml	ac7e77b0a2ae2cae3b3063e9e791fdd18425b562cb2ab6106cf4af7c0d724fbc	MFANNS/simulator/memory/20260614/007_deep1b_r10_requested_ansmet250_mfnns18_200/logs/deep1b_r10_ansmet_requested_ef0250_q0033_stats.yml	4f94b4988e871474998a9f1a594362e63afad6124b1252d044721951d88abc5a	0.982	8181897	29333.050758	-0.001	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0300.queue0033	deep1b	r10	ansmet	0.983000	0.98	22657.279756	10592622	300		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0300_queue0033.yaml	7dee5ab3b82589966feb84141a6ad31521ec3375926456b36d7fee159a94bf52	MFANNS/simulator/memory/20260614/010_deep1b_r10_requested_ansmet300_400/yamls/deep1b_r10_ansmet_requested_ef0300_q0033.yaml	a0939f8b46dc66a654c40e8b853c1130f251e56ea7932d6b710ac714b0a5b58c	MFANNS/simulator/memory/20260614/010_deep1b_r10_requested_ansmet300_400/logs/deep1b_r10_ansmet_requested_ef0300_q0033_stats.yml	6cf55fbdff86ba682622d33081f5cf357e033fd2eac2d24028c626f6cf31dbde	0.984	10592622	22657.279756	-0.001	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.ansmet.ef0400.queue0033	deep1b	r10	ansmet	0.987000	0.99	15738.507840	15249222	400		33	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0400_queue0033.yaml	afc83fd7b39a2bcac03319341b451fc574b61bd367ce8cf9d385fd28eda34075	MFANNS/simulator/memory/20260614/010_deep1b_r10_requested_ansmet300_400/yamls/deep1b_r10_ansmet_requested_ef0400_q0033.yaml	721be3e71c49ad3d046a1a6afef71af47ede765ecaa87a3b34163ae0f7807144	MFANNS/simulator/memory/20260614/010_deep1b_r10_requested_ansmet300_400/logs/deep1b_r10_ansmet_requested_ef0400_q0033_stats.yml	a2cccfcd3b20e5f215da6a4b9d68d1232762ab23335937f628d24ce92939fd7d	0.987	15249222	15738.507840	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.mfnns.ef0010.lbq0005	deep1b	r10	mfnns	0.642000	0.64	1779794.878640	134847	10	5	5	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0010_lbq0005.yaml	9da2079a4b110c7303e6299ead9079ccd83d84c22fbcaa3f7ae1c647e21dbe7e	MFANNS/simulator/memory/20260613/003_recall10_deep1b_mfnns_lowef_lbq_requested/yamls/deep1b_r10_mfnns_requested_ef0010_q0005.yaml	7f27f040d991dd68875bdd217c59e34e137b9df27fcb92feec3968642673304c	MFANNS/simulator/memory/20260613/003_recall10_deep1b_mfnns_lowef_lbq_requested/logs/deep1b_r10_mfnns_requested_ef0010_q0005_stats.yml	aa4917b951fd48636db8230b353413cbb7b20dc78941772214cb7acb3129d677	0.642	134847	1779794.878640	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.mfnns.ef0012.lbq0006	deep1b	r10	mfnns	0.683000	0.68	1503081.316699	159672	12	6	6	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0012_lbq0006.yaml	5c3d1b7a18981c6fa4f664a7fa7d9596b772ed3291355995dc06817c588ff3dc	MFANNS/simulator/memory/20260614/009_deep1b_r10_requested_ansmet12_mfnns12_250_300/yamls/deep1b_r10_mfnns_requested_ef0012_q0006.yaml	823e33e73ca8f00485a91f8056c153e4745b5a21075aea39271cad0916ccf6a2	MFANNS/simulator/memory/20260614/009_deep1b_r10_requested_ansmet12_mfnns12_250_300/logs/deep1b_r10_mfnns_requested_ef0012_q0006_stats.yml	a5e660dedf098000f2d18c2283610cdf848f20127ea401da4e8f819bec41af3f	0.683	159672	1503081.316699	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.mfnns.ef0014.lbq0010	deep1b	r10	mfnns	0.722000	0.72	1310959.622444	183072	14	10	10	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0014_lbq0010.yaml	475a4eb3521c664f2caf3ea06f5e1ec186f243e7762c4746178a3e9af102c20b	MFANNS/simulator/memory/20260613/003_recall10_deep1b_mfnns_lowef_lbq_requested/yamls/deep1b_r10_mfnns_requested_ef0014_q0010.yaml	06b5e120740aac825756db0d97dd881eb6782b611ddc17a4dd605f1263667f3e	MFANNS/simulator/memory/20260613/003_recall10_deep1b_mfnns_lowef_lbq_requested/logs/deep1b_r10_mfnns_requested_ef0014_q0010_stats.yml	967175c3341d8f6b54043330c54f3a9abf6b769c77d483e975cec88e7141899d	0.722	183072	1310959.622444	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.mfnns.ef0016.lbq0008	deep1b	r10	mfnns	0.750000	0.75	1160277.886554	206847	16	8	8	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0016_lbq0008.yaml	a8f655f319995af256c9e1fc7f80dcae362a680f4d212b0804aa386874c462d3	MFANNS/simulator/memory/20260614/008_deep1b_r10_requested_ansmet120_mfnns16q8/yamls/deep1b_r10_mfnns_requested_ef0016_q0008.yaml	dedefa47baec3ec9aa3b0359587b24a97a2d12df7d9dbc256c645a05ccd2cc4d	MFANNS/simulator/memory/20260614/008_deep1b_r10_requested_ansmet120_mfnns16q8/logs/deep1b_r10_mfnns_requested_ef0016_q0008_stats.yml	0805be23aa24083f6c9522985812d7547e6c4bb75a70c9b2e03ab13de729a8d7	0.749	206847	1160277.886554	0.001	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.mfnns.ef0018.lbq0010	deep1b	r10	mfnns	0.760000	0.76	1075283.269936	223197	18	10	10	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0018_lbq0010.yaml	8b729bb9f623708bad724e213ac01713eda9cf75b66e069d8b0993d8b7ed9990	MFANNS/simulator/memory/20260614/007_deep1b_r10_requested_ansmet250_mfnns18_200/yamls/deep1b_r10_mfnns_requested_ef0018_q0010.yaml	17fb6c28c6768942868c04cba3b27f83f44da719622f6558b2f7d0130f1af28a	MFANNS/simulator/memory/20260614/007_deep1b_r10_requested_ansmet250_mfnns18_200/logs/deep1b_r10_mfnns_requested_ef0018_q0010_stats.yml	1cafe012eb00398251e6ad6cf7766a4f70ca07ce40146b0eb7d38a5211db3b09	0.755	223197	1075283.269936	0.005	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
deep1b.r10.mfnns.ef0022.lbq0010	deep1b	r10	mfnns	0.800000	0.80	929162.940336	258297	22	10	10	verified_original_yaml_stats	ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0022_lbq0010.yaml	97fa4cf4fe8c0b667895f1a445de6a70c8bc703aaac528d272116893c2fc038a	MFANNS/simulator/memory/20260613/003_recall10_deep1b_mfnns_lowef_lbq_requested/yamls/deep1b_r10_mfnns_requested_ef0022_q0010.yaml	6c3b1945e3105f9367459ccdd261c6dcb1d57f65107746cb54ea96eff4917e83	MFANNS/simulator/memory/20260613/003_recall10_deep1b_mfnns_lowef_lbq_requested/logs/deep1b_r10_mfnns_requested_ef0022_q0010_stats.yml	3f8f6bff6143da867cd79c4f158c4b9b14df330c509e436fac7c3ddbd1081ace	0.797	258297	929162.940336	0.003	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
