point_id	dataset	recall_tag	method	plot_recall_raw	plot_recall_2dp	plot_qps	plot_cycle	ef	lbq	source_queue	config_status	portable_config_ref	portable_config_sha256	source_yaml_ref	source_yaml_sha256	source_stats_ref	source_stats_sha256	source_recall	source_cycle	source_qps_2p4ghz	recall_delta_plot_minus_source	cycle_delta_plot_minus_source	note
t2i1b.r10.ansmet.ef0200.queue0100	t2i1b	r10	ansmet	0.910000	0.91	22004.021785	10907097	200		100	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0200_queue0100.yaml	a26684308649f728c464df1798f17dafd1bd28311b0f4fa4debc3103949a0da6	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/yamls/t2i1b_ansmet_r10_top100gt_ef0200_q0100.yaml	4152540bcc967f3df1a6b37665975076ae95f82193e4db348e99e93039dcef96	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/logs/t2i1b_ansmet_r10_top100gt_ef0200_q0100_stats.yml	0614d04dcb39e28023dc00670abd044590ecc2bddaa39cabfa48c8e668d0ed04	0.911	10907097	22004.021785	-0.001	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0300.queue0033	t2i1b	r10	ansmet	0.930000	0.93	13307.884223	18034422	300		33	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0300_queue0033.yaml	40ff9cbdc89cdf48021c6bd323221c9688238597f3f2f3b160cfa0b44d8bfdbe	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round1_screen/t2i1b_ansmet_k10_ef0300_q0033.yaml	70c639374fb6e6c16b166ec23e74e6b98de5ca31584ca44e00f5635958901801	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round1_screen/t2i1b_ansmet_k10_ef0300_q0033_stats.yml	7a42b96c0c34027c8315888c9e94555122cfeb6670495c828adb52ffe1f5f0e3	0.932	18034422	13307.884223	-0.002	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0500.queue0100	t2i1b	r10	ansmet	0.950000	0.95	7277.524485	32978247	500		100	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0500_queue0100.yaml	5bb55409b9ecfa8b8c9ca612a5709fca703cdd2518b5a8e261626ee8dac5f923	MFANNS/simulator/memory/20260614/006_r10_parallel_extra_points/yamls/t2i1b_r10_ansmet_parallel_ef0500_q0100.yaml	82ca14d6b92ecd480b0a36d13bb392292e71096983fc2cab64e9373c6f8efa01	MFANNS/simulator/memory/20260614/006_r10_parallel_extra_points/logs/t2i1b_r10_ansmet_parallel_ef0500_q0100_stats.yml	7ddf79e1d01a162b48d2123c2f67a7e3f5b0851e864e68919b6e35323be993f5	0.958	32978247	7277.524485	-0.008	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0600.queue0033	t2i1b	r10	ansmet	0.960000	0.96	5923.622734	40515747	600		33	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0600_queue0033.yaml	f5d1da40df9007dbdf1ee12bda4c4fea90a3956c4b9b58ea1a8879d49611e865	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round3_t2i1b_ansmet_refine/t2i1b_ansmet_k10_refine_ef0600_q0033.yaml	71cdfba062a3a6793410abce10c8ed8593638491704163fc1037b48a25cd471a	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round3_t2i1b_ansmet_refine/t2i1b_ansmet_k10_refine_ef0600_q0033_stats.yml	a7e654e511e5359c24da51009afbcbce86906e2388e2eba7ae5c6b2c56f42c14	0.954	40515747	5923.622734	0.006	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.mfnns.ef0010.lbq0050	t2i1b	r10	mfnns	0.448000	0.45	808906.055673	296697	10	50	15	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0010_lbq0050.yaml	373eb958bcbcceeb089fd5c5cca6f74e42dbfaffea4366afc7a7d809b9e9b8ac	MFANNS/simulator/memory/20260614/003_t2i1b_r10_requested_mfnns_lowef_top100gt/yamls/t2i1b_r10_mfnns_top100gt_ef0015_q0015.yaml	602f438ce50b7b262a8be9e2dc9c600b5fdeefa6f4f52fb71173ca448fcb8b2e	MFANNS/simulator/memory/20260614/003_t2i1b_r10_requested_mfnns_lowef_top100gt/logs/t2i1b_r10_mfnns_top100gt_ef0015_q0015_stats.yml	6e436201646788e5f7e671464fc4dffbb326fecb47a6e9db1e745f5508ceeb28	0.251	246447	973840.217166	0.197	50250	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0015.lbq0060	t2i1b	r10	mfnns	0.492000	0.49	590628.206927	406347	15	60	15	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0015_lbq0060.yaml	f9b737c2278c2f5b380e90e7d0e2b039f479c5fcd47556403633cca9185f425e	MFANNS/simulator/memory/20260614/003_t2i1b_r10_requested_mfnns_lowef_top100gt/yamls/t2i1b_r10_mfnns_top100gt_ef0015_q0015.yaml	602f438ce50b7b262a8be9e2dc9c600b5fdeefa6f4f52fb71173ca448fcb8b2e	MFANNS/simulator/memory/20260614/003_t2i1b_r10_requested_mfnns_lowef_top100gt/logs/t2i1b_r10_mfnns_top100gt_ef0015_q0015_stats.yml	6e436201646788e5f7e671464fc4dffbb326fecb47a6e9db1e745f5508ceeb28	0.251	246447	973840.217166	0.241	159900	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0015.lbq0100	t2i1b	r10	mfnns	0.510000	0.51	512577.367146	468222	15	100	15	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0015_lbq0100.yaml	e684184e27f47b0a850541442234efa8f1dd5c5ef5d42d70cf25cf284d107383	MFANNS/simulator/memory/20260614/003_t2i1b_r10_requested_mfnns_lowef_top100gt/yamls/t2i1b_r10_mfnns_top100gt_ef0015_q0015.yaml	602f438ce50b7b262a8be9e2dc9c600b5fdeefa6f4f52fb71173ca448fcb8b2e	MFANNS/simulator/memory/20260614/003_t2i1b_r10_requested_mfnns_lowef_top100gt/logs/t2i1b_r10_mfnns_top100gt_ef0015_q0015_stats.yml	6e436201646788e5f7e671464fc4dffbb326fecb47a6e9db1e745f5508ceeb28	0.251	246447	973840.217166	0.259	221775	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
t2i1b.r10.mfnns.ef0030.lbq0120	t2i1b	r10	mfnns	0.650000	0.65	282561.704412	849372	30	120	120	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0030_lbq0120.yaml	34875cbe0cb0d9178d2918fd577693da9e138a4b5feed810b13a5dba1b7c0a9e	MFANNS/simulator/memory/20260614/003_t2i1b_r10_requested_mfnns_lowef_top100gt/yamls/t2i1b_r10_mfnns_top100gt_ef0030_q0120.yaml	7e764a0d7cfaa48ebf14aba711da0bcb04eba20adb511a3706b106f0a6f20c06	MFANNS/simulator/memory/20260614/003_t2i1b_r10_requested_mfnns_lowef_top100gt/logs/t2i1b_r10_mfnns_top100gt_ef0030_q0120_stats.yml	4f988854e6cdd8c2ae38f98cfe9592be2de12146fef22b48a34d3c35f9f34cff	0.646	849372	282561.704412	0.004	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.mfnns.ef0040.lbq0200	t2i1b	r10	mfnns	0.702000	0.70	195946.839622	1224822	40	200	200	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0040_lbq0200.yaml	2141dcbd4ab301a6c0b88c7bf8dfb38efb4dcbbf3364bab6338a756ede62babb	MFANNS/simulator/memory/20260614/004_t2i1b_r10_requested_mfnns_more_lbq_top100gt/yamls/t2i1b_r10_mfnns_top100gt_ef0040_q0200.yaml	b212c050673487e052b84f567883ebc69e058e64cee71fb37ee08e1fa83b2b99	MFANNS/simulator/memory/20260614/004_t2i1b_r10_requested_mfnns_more_lbq_top100gt/logs/t2i1b_r10_mfnns_top100gt_ef0040_q0200_stats.yml	69f96a41fe7332f760f0f3c7948f4b63ad7ae60e5a82423d2582e7f457471c09	0.702	1224822	195946.839622	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.mfnns.ef0050.lbq0300	t2i1b	r10	mfnns	0.750000	0.75	143762.332113	1669422	50	300	200	reconstructed_from_same_panel_template	ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0050_lbq0300.yaml	649ac8392913f018761de375c3a9c77453fd85d4a5c45e12db67a9f2c73c3fc1	MFANNS/simulator/memory/20260329/deep1b_t2i1b_k10_bandsearch/yamls_t2i1b_mfnns_ef50_lbq_probe200/t2i1b_mfnns_k10_ef50_lbq200.yaml	4773764dc72b4283869077094eb1b60a3afa6ccca8c548ac38304f44d08ce3f8	MFANNS/simulator/memory/20260329/deep1b_t2i1b_k10_bandsearch/logs_t2i1b_mfnns_ef50_lbq_probe200/t2i1b_mfnns_k10_ef50_lbq200_stats.yml	77aa345d68a2256516fb25fae8a1b85990648be98cbf13fe8977a53a6cfd2f70	0.706	1494372	160602.580883	0.044	175050	No original same-parameter YAML was found; ef/LBQueue are reconstructed from the nearest same-panel template.
