dataset,dataset_label,recall_tag,recall_label,method,method_label,recall_raw,recall_2dp,qps,cycle,ef,lbq,data_status,config_ref
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.780000,0.78,340318.367833,705222,40,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0040_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.810000,0.81,269202.554732,891522,50,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0050_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.850000,0.85,182838.475919,1312634,70,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0070_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.890000,0.89,122479.661997,1959509,95,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0095_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.920000,0.92,77101.398619,3112784,130,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0130_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.940000,0.94,46751.528483,5133522,180,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0180_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.950000,0.95,35110.448694,6835572,220,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0220_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.960000,0.96,29333.050758,8181897,250,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0250_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.970000,0.97,22657.279756,10592622,300,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0300_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.632000,0.63,988276.569198,242847,20,10,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0020_lbq0010.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.720000,0.72,663630.556869,361647,30,15,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0030_lbq0015.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.770000,0.77,477472.261846,502647,40,20,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0040_lbq0020.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.800000,0.80,365006.798252,657522,50,20,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0050_lbq0020.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.830000,0.83,292692.921222,819972,60,20,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0060_lbq0020.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.870000,0.87,175467.841131,1367772,90,40,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0090_lbq0040.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.880000,0.88,162017.441178,1481322,90,80,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0090_lbq0080.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.910000,0.91,103076.312548,2328372,130,100,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0130_lbq0100.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.920000,0.92,89543.150844,2680272,150,100,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0150_lbq0100.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.940000,0.94,56684.361635,4233972,180,220,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0180_lbq0220.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.950000,0.95,42413.340268,5658597,220,300,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0220_lbq0300.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.960000,0.96,39095.926253,6138747,250,250,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0250_lbq0250.yaml
deep1b,DEEP1B,r100,Recall@100,mfnns,MFNNS,0.970000,0.97,28306.319669,8478672,300,420,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/mfnns/mfnns_ef0300_lbq0420.yaml
