dataset	metric	k	ef	trial	recall	qps	threads	nq	query_ops	warmup_queries	avg_results_per_query	source_file
deep1b	R@100	100	40	1	0.5698	192819.295	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	40	2	0.5698	193492.042	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	40	3	0.5698	194489.675	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	60	1	0.6443	143636.523	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	60	2	0.6443	145345.326	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	60	3	0.6443	143644.916	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	100	1	0.7426	108243.686	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	100	2	0.7426	134048.157	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	100	3	0.7426	134510.636	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	150	1	0.8061	92822.127	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	150	2	0.8061	93783.928	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	150	3	0.8061	92997.813	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
